(log)saleprice,Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,log(GrLivArea),GrLivArea
5.112269768,11,20,RL,11200,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,TA,TA,CBlock,906,0,134,1040,GasA,Ex,Y,1040,0,0,1,0,1,0,3,1,TA,5,Typ,0,1,384,Y,0,0,0,0,0,0,0,2,2008,WD,Normal,3.017033339,1040
5.537819095,12,60,RL,11924,Pave,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Ex,TA,PConc,998,0,177,1175,GasA,Ex,Y,1182,1142,0,1,0,3,0,4,1,Ex,11,Typ,2,3,736,Y,147,21,0,0,0,0,0,7,2006,New,Partial,3.366236124,2324
5.158362492,13,20,RL,12968,Pave,IR2,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,TA,TA,CBlock,737,0,175,912,GasA,TA,Y,912,0,0,1,0,1,0,2,1,TA,4,Typ,0,1,352,Y,140,0,0,0,176,0,0,9,2008,WD,Normal,2.959994838,912
5.446381812,14,20,RL,10652,Pave,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,1494,1494,GasA,Ex,Y,1494,0,0,0,0,2,0,3,1,Gd,7,Typ,1,3,840,Y,160,33,0,0,0,0,0,8,2007,New,Partial,3.174350597,1494
5.195899652,15,20,RL,10920,Pave,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,TA,TA,CBlock,733,0,520,1253,GasA,TA,Y,1253,0,0,1,0,1,1,2,1,TA,5,Typ,1,1,352,Y,0,213,176,0,0,0,0,5,2008,WD,Normal,3.097951071,1253
5.120573931,16,45,RM,6120,Pave,Reg,Lvl,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,BrkTil,0,0,832,832,GasA,Ex,Y,854,0,0,0,0,1,0,2,1,TA,5,Typ,0,2,576,Y,48,112,0,0,0,0,0,7,2007,WD,Normal,2.931457871,854
5.173186268,17,20,RL,11241,Pave,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,578,0,426,1004,GasA,Ex,Y,1004,0,0,1,0,1,0,2,1,TA,5,Typ,1,2,480,Y,0,0,0,0,0,0,700,3,2010,WD,Normal,3.001733713,1004
4.954242509,18,90,RL,10791,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,TA,TA,Slab,0,0,0,0,GasA,TA,Y,1296,0,0,0,0,2,0,2,2,TA,6,Typ,0,2,516,Y,0,0,0,0,0,0,500,10,2006,WD,Normal,3.112605002,1296
5.201397124,19,20,RL,13695,Pave,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,646,0,468,1114,GasA,Ex,Y,1114,0,0,1,0,1,1,3,1,Gd,6,Typ,0,2,576,Y,0,102,0,0,0,0,0,6,2008,WD,Normal,3.046885191,1114
5.1430148,20,20,RL,7560,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,TA,TA,CBlock,504,0,525,1029,GasA,TA,Y,1339,0,0,0,0,1,0,3,1,TA,6,Min1,0,1,294,Y,0,0,0,0,0,0,0,5,2009,COD,Abnorml,3.126780577,1339
5.512284063,21,60,RL,14215,Pave,IR1,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,1158,1158,GasA,Ex,Y,1158,1218,0,0,0,3,1,4,1,Gd,9,Typ,1,3,853,Y,240,154,0,0,0,0,0,11,2006,New,Partial,3.375846436,2376
5.144262774,22,45,RM,7449,Pave,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,PConc,0,0,637,637,GasA,Ex,Y,1108,0,0,0,0,1,0,3,1,Gd,6,Typ,1,1,280,N,0,0,205,0,0,0,0,6,2007,WD,Normal,3.04453976,1108
5.361727836,23,20,RL,9742,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,1777,1777,GasA,Ex,Y,1795,0,0,0,0,2,0,3,1,Gd,7,Typ,1,2,534,Y,171,159,0,0,0,0,0,9,2008,WD,Normal,3.254064453,1795
5.113609151,24,120,RM,4224,Pave,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,TA,TA,PConc,840,0,200,1040,GasA,TA,Y,1060,0,0,1,0,1,0,3,1,TA,6,Typ,1,2,572,Y,100,110,0,0,0,0,0,6,2007,WD,Normal,3.025305865,1060
5.187520721,25,20,RL,8246,Pave,IR1,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,TA,Gd,CBlock,188,668,204,1060,GasA,Ex,Y,1060,0,0,1,0,1,0,3,1,Gd,6,Typ,1,1,270,Y,406,90,0,0,0,0,0,5,2010,WD,Normal,3.025305865,1060
5.408748606,26,20,RL,14230,Pave,Reg,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,1566,1566,GasA,Ex,Y,1600,0,0,0,0,2,0,3,1,Gd,7,Typ,1,3,890,Y,0,56,0,0,0,0,0,7,2009,WD,Normal,3.204119983,1600
5.129689892,27,20,RL,7200,Pave,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,234,486,180,900,GasA,TA,Y,900,0,0,0,1,1,0,3,1,Gd,5,Typ,0,2,576,Y,222,32,0,0,0,0,0,5,2010,WD,Normal,2.954242509,900
5.485721426,28,20,RL,11478,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1218,0,486,1704,GasA,Ex,Y,1704,0,0,1,0,2,0,3,1,Gd,7,Typ,1,3,772,Y,0,50,0,0,0,0,0,5,2010,WD,Normal,3.23146959,1704
5.317018101,29,20,RL,16321,Pave,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,1277,0,207,1484,GasA,TA,Y,1600,0,0,1,0,1,0,2,1,TA,6,Typ,2,1,319,Y,288,258,0,0,0,0,0,12,2006,WD,Normal,3.204119983,1600
4.835690571,30,30,RM,6324,Pave,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,0,0,520,520,GasA,Fa,N,520,0,0,0,0,1,0,1,1,Fa,4,Typ,0,1,240,Y,49,0,87,0,0,0,0,5,2008,WD,Normal,2.716003344,520
4.602059991,31,70,C (all),8500,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,TA,Fa,BrkTil,0,0,649,649,GasA,TA,N,649,668,0,0,0,1,0,3,1,TA,6,Typ,0,1,250,N,0,54,172,0,0,0,0,7,2008,WD,Normal,3.119585775,1317
5.174205227,32,20,RL,8544,Pave,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,0,0,1228,1228,GasA,Gd,Y,1228,0,0,0,0,1,1,3,1,Gd,6,Typ,0,1,271,Y,0,65,0,0,0,0,0,6,2008,WD,Normal,3.089198367,1228
5.255031163,33,20,RL,11049,Pave,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,1234,1234,GasA,Ex,Y,1234,0,0,0,0,2,0,3,1,Gd,7,Typ,0,2,484,Y,0,30,0,0,0,0,0,1,2008,WD,Normal,3.09131516,1234
5.218797998,34,20,RL,10552,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,TA,TA,CBlock,1018,0,380,1398,GasA,Gd,Y,1700,0,0,0,1,1,1,4,1,Gd,6,Typ,1,2,447,Y,0,38,0,0,0,0,0,4,2010,WD,Normal,3.230448921,1700
5.443262987,35,120,RL,7313,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,Ex,TA,PConc,1153,0,408,1561,GasA,Ex,Y,1561,0,0,1,0,2,0,2,1,Ex,6,Typ,1,2,556,Y,203,47,0,0,0,0,0,8,2007,WD,Normal,3.193402903,1561
5.489958479,36,60,RL,13418,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,1117,1117,GasA,Ex,Y,1132,1320,0,0,0,3,1,4,1,Gd,9,Typ,1,3,691,Y,113,32,0,0,0,0,0,9,2006,WD,Normal,3.389520466,2452
5.161368002,37,20,RL,10859,Pave,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,0,0,1097,1097,GasA,Ex,Y,1097,0,0,0,0,1,1,3,1,TA,6,Typ,0,2,672,Y,392,64,0,0,0,0,0,6,2009,WD,Normal,3.040206628,1097
5.184691431,38,20,RL,8532,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,1213,0,84,1297,GasA,Gd,Y,1297,0,0,0,1,1,0,3,1,TA,5,Typ,1,2,498,Y,0,0,0,0,0,0,0,10,2009,WD,Normal,3.112939976,1297
5.037426498,39,20,RL,7922,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,TA,Gd,CBlock,731,0,326,1057,GasA,TA,Y,1057,0,0,1,0,1,0,3,1,Gd,5,Typ,0,1,246,Y,0,52,0,0,0,0,0,1,2010,WD,Abnorml,3.024074987,1057
4.913813852,40,90,RL,6040,Pave,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,TA,TA,PConc,0,0,0,0,GasA,TA,N,1152,0,0,0,0,2,0,2,2,Fa,6,Typ,0,0,0,N,0,0,0,0,0,0,0,6,2008,WD,AdjLand,3.061452479,1152
5.204119983,41,20,RL,8658,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,643,0,445,1088,GasA,Ex,Y,1324,0,0,0,0,2,0,3,1,TA,6,Typ,1,2,440,Y,0,138,0,0,0,0,0,12,2006,WD,Abnorml,3.121887985,1324
5.230448921,42,20,RL,16905,Pave,Reg,Lvl,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,TA,Gd,CBlock,967,0,383,1350,GasA,Gd,Y,1328,0,0,0,1,1,1,2,1,TA,5,Typ,2,1,308,P,0,104,0,0,0,0,0,7,2007,WD,Normal,3.123198075,1328
5.158362492,43,85,RL,9180,Pave,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,747,93,0,840,GasA,Gd,Y,884,0,0,1,0,1,0,2,1,Gd,5,Typ,0,2,504,Y,240,0,0,0,0,0,0,12,2007,WD,Normal,2.946452265,884
5.114777732,44,20,RL,9200,Pave,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,TA,TA,CBlock,280,491,167,938,GasA,TA,Y,938,0,0,1,0,1,0,3,1,TA,5,Typ,0,1,308,Y,145,0,0,0,0,0,0,7,2008,WD,Normal,2.972202838,938
5.149219113,45,20,RL,7945,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,TA,TA,CBlock,179,506,465,1150,GasA,Ex,Y,1150,0,0,1,0,1,0,3,1,TA,6,Typ,0,1,300,Y,0,0,0,0,0,0,0,5,2006,WD,Normal,3.06069784,1150
5.50501424,46,120,RL,7658,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,Ex,TA,PConc,456,0,1296,1752,GasA,Ex,Y,1752,0,0,1,0,2,0,2,1,Ex,6,Typ,1,2,576,Y,196,82,0,0,0,0,0,2,2010,WD,Normal,3.243534102,1752
5.379642668,47,50,RL,12822,Pave,IR1,Lvl,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1351,0,83,1434,GasA,Ex,Y,1518,631,0,1,0,1,1,1,1,Gd,6,Typ,1,2,670,Y,168,43,0,0,198,0,0,8,2009,WD,Abnorml,3.332236415,2149
5.397418542,48,20,FV,11096,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,24,0,1632,1656,GasA,Ex,Y,1656,0,0,0,0,2,0,3,1,Gd,7,Typ,0,3,826,Y,0,146,0,0,0,0,0,7,2007,WD,Normal,3.219060332,1656
5.053078443,49,190,RM,4456,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,0,0,736,736,GasA,Gd,Y,736,716,0,0,0,2,0,2,3,TA,8,Typ,0,0,0,N,0,0,102,0,0,0,0,6,2009,New,Partial,3.161966616,1452
5.103803721,50,20,RL,7742,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,763,0,192,955,GasA,Ex,Y,955,0,0,1,0,1,0,3,1,TA,6,Typ,0,1,386,Y,0,0,0,0,0,0,0,1,2007,WD,Normal,2.980003372,955
5.247973266,51,60,RL,13869,Pave,IR2,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,182,0,612,794,GasA,Gd,Y,794,676,0,0,1,2,0,3,1,TA,6,Typ,0,2,388,Y,0,75,0,0,0,0,0,7,2007,WD,Normal,3.167317335,1470
5.058805487,52,50,RM,6240,Pave,Reg,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,PConc,0,0,816,816,GasA,TA,Y,816,0,360,0,0,1,0,3,1,TA,6,Typ,1,2,528,Y,112,0,0,0,0,0,400,9,2006,WD,Normal,3.070407322,1176
5.041392685,53,90,RM,8472,Grvl,IR2,Bnk,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,Fa,TA,CBlock,104,712,0,816,GasA,TA,N,816,0,0,1,0,1,0,2,1,TA,5,Typ,0,2,516,Y,106,0,0,0,0,0,0,5,2010,WD,Normal,2.911690159,816
5.58546073,54,20,RL,50271,Pave,IR1,Low,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShngl,WdShing,Wd Shng,Gd,TA,CBlock,1810,0,32,1842,GasA,Gd,Y,1842,0,0,2,0,0,1,0,1,Gd,5,Typ,1,3,894,Y,857,72,0,0,0,0,0,11,2006,WD,Normal,3.265289626,1842
5.113943352,55,80,RL,7134,Pave,Reg,Bnk,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,5,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,384,0,0,384,GasA,TA,Y,1360,0,0,0,0,1,0,3,1,TA,6,Min1,1,2,572,Y,0,50,0,0,0,0,0,2,2007,WD,Normal,3.133538908,1360
5.256477206,56,20,RL,10175,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1964,1964,Gable,CompShg,HdBoard,Plywood,TA,TA,CBlock,490,0,935,1425,GasA,Gd,Y,1425,0,0,0,0,2,0,3,1,TA,7,Typ,1,2,576,Y,0,0,0,407,0,0,0,7,2008,WD,Normal,3.153814864,1425
5.236789099,57,160,FV,2645,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,Gd,TA,PConc,649,0,321,970,GasA,Ex,Y,983,756,0,1,0,2,1,3,1,Gd,7,Typ,0,2,480,Y,115,0,0,0,0,0,0,8,2009,WD,Abnorml,3.240299582,1739
5.293362555,58,60,RL,11645,Pave,IR1,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,860,860,GasA,Ex,Y,860,860,0,0,0,2,1,3,1,Gd,7,Typ,0,2,565,Y,0,70,0,0,0,0,0,8,2006,WD,Normal,3.235528447,1720
5.642246824,59,60,RL,13682,Pave,IR2,HLS,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,2Story,10,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,Ex,TA,PConc,0,0,1410,1410,GasA,Ex,Y,1426,1519,0,0,0,3,1,3,1,Gd,10,Typ,1,3,641,Y,192,0,37,0,0,0,0,10,2006,New,Partial,3.469085299,2945
5.096562438,60,20,RL,7200,Pave,Reg,Bnk,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,632,0,148,780,GasA,Ex,Y,780,0,0,0,0,1,0,2,1,TA,4,Typ,0,1,352,Y,196,0,0,0,0,0,0,1,2008,WD,Normal,2.892094603,780
5.198657087,61,20,RL,13072,Pave,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,941,0,217,1158,GasA,Ex,Y,1158,0,0,1,0,1,1,3,1,Gd,5,Typ,0,2,576,Y,0,50,0,0,0,0,0,5,2006,New,Partial,3.063708559,1158
5.004321374,62,75,RM,7200,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,7,1920,1996,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,0,0,530,530,GasA,TA,N,581,530,0,0,0,1,0,3,1,Fa,6,Typ,0,1,288,N,0,0,144,0,0,0,0,3,2007,WD,Normal,3.045714059,1111
5.306425028,63,120,RL,6442,Pave,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,24,0,1346,1370,GasA,Ex,Y,1370,0,0,0,0,2,0,2,1,Gd,6,Typ,1,2,484,Y,120,49,0,0,0,0,0,10,2007,WD,Normal,3.136720567,1370
5.146128036,64,70,RM,10300,Pave,IR1,Bnk,Inside,Gtl,OldTown,RRAn,Feedr,1Fam,2Story,7,6,1921,1950,Gable,CompShg,Stucco,Stucco,TA,TA,BrkTil,0,0,576,576,GasA,Gd,Y,902,808,0,0,0,2,0,3,1,TA,9,Typ,0,2,480,Y,12,11,64,0,0,0,0,4,2010,WD,Normal,3.23299611,1710
5.341434525,65,60,RL,9375,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,739,0,318,1057,GasA,Ex,Y,1057,977,0,1,0,2,1,3,1,Gd,8,Typ,0,2,645,Y,576,36,0,0,0,0,0,2,2009,WD,Normal,3.308350949,2034
5.501059262,66,60,RL,9591,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,1143,1143,GasA,Ex,Y,1143,1330,0,0,0,2,1,4,1,Gd,9,Typ,1,3,852,Y,192,151,0,0,0,0,0,10,2007,WD,Normal,3.393224116,2473
5.255272505,67,20,RL,19900,Pave,Reg,Lvl,Inside,Gtl,NAmes,PosA,Norm,1Fam,1Story,7,5,1970,1989,Gable,CompShg,Plywood,Plywood,TA,TA,CBlock,912,0,1035,1947,GasA,TA,Y,2207,0,0,1,0,2,0,3,1,TA,7,Min1,1,2,576,Y,301,0,0,0,0,0,0,7,2010,WD,Normal,3.343802333,2207
